checklist_id,height,aet,pdsi,pet,soil,tmmn,tmmx,vpd,prop_forest,prop_decid,prop_conifer,prop_grass,prop_oak,slope,AVE,tpi,constant,chili,MU,understory_proportion,fhd_normal,time_observations_started,duration_minutes,species_observed,lon,lat
G1020050,NA,1030.4242424242425,134.42424242424244,1419.3939393939395,435.4848484848485,157.6060606060606,275.6969696969697,105.87878787878788,0,0,0,0,0,2.7615198393438485,-2.7243651558984245,-2.7243651558984245,186.1984560952075,186.1984560952075,1.8071509324587307,1,1.5226626362119402,20.7,18,FALSE,-85.67664,42.9676
G1117142,13.16573450534728,1021.8484848484849,212.6060606060606,1335.090909090909,464.6363636363636,147.3030303030303,263.6363636363636,84.66666666666667,0.5850009714396736,0.5366232756945793,5.828638041577618e-4,0.1750534291820478,0,7.771982276143487,-15.899618982518776,-15.899618982518776,186.42669063473176,186.42669063473176,NA,0.834663722662709,2.3760482966296586,15.2833333333333,75,FALSE,-89.6854305,43.4100359
G1224327,NA,978.969696969697,263.4848484848485,1198.878787878788,252.12121212121212,124.18181818181819,231.33333333333334,72.0909090909091,0,0,0,0,0,1.046417174195646,0.4071822154664639,0.4071822154664639,171.70800940155485,171.70800940155485,11.856646537780762,1,1.4859213317235311,10.5,60,FALSE,-70.0421762,47.3927642
G1316939,18.39417290178132,1121.617316017316,-4.315151515151515,1320.5233766233764,979.0943722943722,153.76709956709954,266.46796536796535,87.87316017316017,0.9665738161559888,0.8923337774009931,3.6332808526099065e-4,6.055468087683178e-4,0.5009810729790615,16.96682931955595,30.441438115028603,30.441438115028603,196.9583977331273,196.9583977331273,188.92241749611472,0.8115366922052376,2.856172353095189,11.05,62,TRUE,-79.5087433,37.5148491
G1321195,NA,1066.121212121212,98.87878787878788,1335.1818181818182,421.6666666666667,142.03030303030303,272.4848484848485,90.78787878787878,0.3380281690140845,0.30985915492957744,0,0.07746478873239436,0.1339921502685043,4.849596493234765,-20.032241014799155,-20.032241014799155,184.37182875264273,184.37182875264273,105.60098266601563,1,1.3032342503295928,13.1833333333333,14,TRUE,-80.0698721,40.9554651
G1321394,21.546955726691202,1141.6363636363637,99.78787878787878,1289.6060606060605,673.0909090909091,146.15151515151516,267.2121212121212,94.06060606060606,0.09340659340659341,0.04945054945054945,0,0,0.05782875633583619,1.097074363276224,-24.95656398795063,-24.95656398795063,190.1103769918383,190.1103769918383,133.82234889439175,0.7664190259591632,1.942593744984508,8.25,20,TRUE,-74.5156422,41.5384264
G1322362,28.989999771118164,NA,NA,NA,NA,NA,NA,NA,0.38738738738738737,0.22972972972972974,0.04054054054054054,0.24774774774774774,0.11713417930025628,4.862656579024905,-6.299167091619921,-6.299167091619921,198.51742900867194,198.51742900867194,110.29637145996094,0.9242168505859234,2.254051826794942,7.18333333333333,20,TRUE,-81.5258974,39.7764419
G1322831,NA,930.8787878787879,28.545454545454547,1156.1818181818182,291.969696969697,113.21212121212122,234.5151515151515,67.24242424242425,0,0,0,0,0,1.9012583505630554,0.5019803432594983,0.5019803432594983,172.56160164271054,172.56160164271054,20.933788299560547,1,2.0930230617523193,13.1666666666667,5,FALSE,-79.4233525,47.6472884
G1323120,NA,1082.6060606060605,200.96969696969697,1317.5454545454545,604.030303030303,153.12121212121212,265.27272727272725,89.18181818181819,0.005479452054794521,0.005479452054794521,0,0,0,1.6682766028923854,3.0168480832938958,3.0168480832938958,186.1020234493192,186.1020234493192,174.44664823091946,0.8959914132122484,2.1061260104179382,8.75,120,TRUE,-76.801579,43.0212627
G1323306,18.843363636713562,1030.9077733860343,72.21870882740448,1341.4505928853757,510.71453667105845,158.62626262626262,276.02810715854196,103.99824330259113,0.9358714729310113,0.7722424733360335,0.052922910760091806,0.016740920750641285,0.3778568840091171,8.647189068801676,2.8424840405384173,2.8424840405384173,192.21232462198734,192.21232462198734,218.6313452101846,0.6544818500945176,2.9536276397471433,18.0833333333333,98,TRUE,-77.3385448,40.037206
G1325426,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.9009033702507145,0.08556716643949723,0.08556716643949723,175.92931739064622,175.92931739064622,11.049142837524414,1,1.7899329662322998,7.25,30,FALSE,-73.3559221,46.092113
G1325813,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.5838065622157265,-20,-20,192.06240126382306,192.06240126382306,118.10882568359375,1,1.46799898147583,15.7833333333333,35,TRUE,-80.156938,41.539466
